Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,PE,Beta
BCE,HSX,5.75,1.36,1.71,1.54,-4.76,-6.2934804137345,0.742374778472157
BCF,HNX,28.5,-1.69,0.0,2.81,-17.04,9.95122329076416,0
BCG,HSX,7.89,-6.53,1.12,-0.85,-7.2,-139.870731254611,0
BCM,HSX,58.5,-1.51,0.87,-0.65,1.35,92.5610163792979,0
BCP,UpCom,9.2,0.0,0.0,0.0,-2.17,-12.8056014138398,0
BCV,UpCom,21.5,0.0,0.0,0.0,0.0,0,0
BDB,HNX,10.3,0.0,0.0,0.0,-7.41,13.7261286170749,0.35825081062133
BDG,UpCom,26.1,-3.36,-1.49,-7.5,-10.73,4.04693130959772,0
BDT,UpCom,14.5,-0.69,1.86,-1.56,0.92,11.6732095063654,0
BDW,UpCom,20,0.0,-13.08,10.25,-4.13,0,0
BED,HNX,34.9,0.0,0.0,0.0,-3.26,17.6942857280842,0.215756725966173
BEL,UpCom,11,0.0,0.0,0.0,-8.46,0,0
BFC,HSX,19.75,-1.31,0.0,2.55,0.0,23.1206733239153,0
BGW,UpCom,17,0.0,0.0,0.0,-3.33,26.3391856695178,0
BHA,UpCom,14,14.49,0.0,-2.3,-2.3,10.7955789674999,0
BHC,UpCom,2,0.0,0.0,0.0,0.0,-4.37774179515296,1.11764705882353
BHG,UpCom,13.5,0.0,0.0,0.0,0.0,0,0
BHK,UpCom,11,0.0,0.0,0.0,-6.56,0,0
BHN,HSX,39.3,-2.18,0.0,0.8,-2.13,23.2868259364382,0
BHP,UpCom,8.5,0.0,0.0,-1.72,-14.19,-72866528.8659794,-0.0434514756560075
BIC,HSX,24.7,0.2,0.75,0.86,-2.49,23.0645966454091,0.869508441376737
BID,HSX,41.5,-1.95,1.44,0.93,0.0,16.2912482975645,1.35938811678015
BIG,UpCom,8.6,0.0,0.0,5.06,3.77,13.0116046036959,0
BII,UpCom,0.8,0.0,0.0,0.0,-10.0,-3.14773726561479,0.806940671282096
BIO,UpCom,20,0.0,0.0,11.11,-17.68,0,0
BKC,HNX,7.2,0.0,4.17,-1.23,-4.0,14.8387149252251,0.0766803961090176
BKG,HSX,4.32,-0.24,1.15,0.41,-5.32,10.5682105266808,0
BLF,HNX,3.2,0.0,0.0,0.0,0.0,-1.62966558160285,-0.126895101218123
BLI,UpCom,11.8,5.26,1.63,3.42,0.81,18.3156364618536,0
BLN,UpCom,6.5,0.0,0.0,-42.15,8.82,0,0
BLT,UpCom,34.8,-10.86,6.61,-1.0,-10.2,0,0
BLW,UpCom,12.8,0.0,0.0,0.0,-5.09,24.0725753481445,0
BMC,HSX,13.8,-2.26,0.35,-0.33,-5.47,11.6505045481934,0.216490998973976
BMD,UpCom,10,0.0,0.0,0.0,-6.52,0,0
BMF,UpCom,10,-1.01,0.0,-72.29,-73.75,23.1263462777333,0
BMG,UpCom,19.5,0.0,0.0,0.0,-7.73,23.6826051063662,0
BMI,HSX,21.4,-0.25,0.58,0.0,-6.85,12.7854327681716,0.550228523458633
BMJ,UpCom,11.5,0.0,5.83,1.52,8.16,61.8161505061483,0.0784446526817773
BMN,UpCom,8.6,0.0,0.0,0.0,-7.07,28.5752721543455,0
BMP,HSX,88,-3.44,2.31,1.82,-6.89,7.6215519272068,0.404346609458073
BMS,UpCom,9.5,-3.41,-0.9,2.7,-8.97,3.23236048871202,0
BMV,UpCom,44.8,0.0,-0.06,-0.06,-15.41,349.948418089301,0
BNA,HNX,9.8,1.1,1.89,6.72,-27.06,9.32600807969113,0
BNW,UpCom,10,0.0,0.0,0.0,-4.39,16.6645587692,0
BOT,UpCom,3.6,2.94,0.0,2.08,-2.63,-2.97774189596417,0
BPC,HNX,9.4,0.0,0.0,-2.22,-2.22,23.8565328552525,0.54140741389887
BQB,UpCom,3.5,0.0,0.0,0.0,-13.51,-2.05919593462282,0
BRC,HSX,11.8,0.0,-1.27,0.0,-0.43,8.95817403679323,0.17824829773342
BRR,UpCom,17.8,0.0,4.4,0.0,-3.09,20.9269659085367,0
BRS,UpCom,20.3,0.0,0.0,0.0,0.0,44.6092498335942,0
BSA,UpCom,18,0.0,0.56,-1.41,-1.44,8.62597330761511,0
BSC,HNX,12,0.0,0.0,0.0,-4.0,16.7053356483655,-0.270754064337599
BSD,UpCom,26,0.0,0.0,0.0,-1.92,0,0
BSG,UpCom,11.6,3.39,-2.19,-0.77,3.28,0,0
BSH,UpCom,20.5,14.21,0.0,0.0,-4.9,8.11511217779479,0
BSI,HSX,37,-6.74,2.63,2.26,-6.86,44.4170178959138,1.37673724466001
BSL,UpCom,9.5,0.0,0.0,0.0,-3.06,37.5934189504975,0
BSP,UpCom,10.6,0.0,0.0,0.0,-4.4,181.498047614991,0
BSQ,UpCom,20,0.0,0.0,0.0,-8.65,0,0
BSR,UpCom,18.6,-4.4,-0.5,-2.75,-4.83,14.2563616553497,0
BST,HNX,14.3,9.92,0.0,-8.99,1.86,7.50557585993855,-0.280168258697748
BT1,UpCom,12.5,0.0,-7.41,2.88,-7.41,0,0
BT6,UpCom,4,0.0,6.12,0.0,0.0,-2.50704790722213,1.00764854024811
BTB,UpCom,5.7,0.0,0.0,0.0,0.0,70.2188771542981,0
BTD,UpCom,21,-0.99,0.0,-5.22,-4.08,0,0
BTG,UpCom,9.5,0.0,0.0,1.14,0.0,2.94986433295562,0.0173629489603025
BTH,UpCom,15.1,14.39,0.0,0.0,0.0,0,-0.36955569187626
BTN,UpCom,3.4,3.12,5.88,2.7,-2.17,2.77946585947586,0
BTP,HSX,13.2,0.0,3.65,0.0,-1.39,8.19337945765769,0.633056617852812
BTS,HNX,5.6,-1.79,0.0,-1.87,-6.53,-30.3029540912673,1.02997108053632
BTT,HSX,29.5,0.0,0.0,2.82,-0.13,9.83073541903586,0.050834810185617
BTU,UpCom,11.7,3.81,0.0,0.0,-6.16,6.6095477201264,0
BTV,UpCom,8.5,0.0,0.0,0.0,0.0,10.310882109442,0
BTW,HNX,30.6,-8.73,7.73,7.62,-6.76,6.71225131142741,0.0308029955913213
BVB,UpCom,10.2,1.0,0.96,3.54,-15.53,13.6496682922345,0
BVG,UpCom,2.4,0.0,4.0,0.0,-5.88,-1.44408206218906,1.02182104986417
BVH,HSX,40.4,-0.64,0.0,1.91,-2.2,20.6370310310374,1.06799738830333
BVL,UpCom,12.8,-14.09,10.87,0.0,0.0,5.18267309240035,0
BVN,UpCom,13.8,8.94,0.0,-8.09,0.0,0,0.0589587546262734
BVS,HNX,23.6,-4.0,1.56,-8.69,-14.86,8.87933818196966,0.870826395583209
