Ticker,Stock_Ex,Price,% Price 7 days,% Price 1 month,% Price 3 months,% Price 1 year,EPS,PE,Beta
AST,HSX,56.4,-0.36,-1.58,-0.66,-1.74,1.90283489521592,30.95381535628,0
ATA,UpCom,1.1,0.0,0.0,7.69,0.0,0.0475592558051426,31.5396020102948,0.777073034231881
ATB,UpCom,0.5,20.0,0.0,0.0,0.0,-0.338533299697494,-2.65852724327037,0
ATG,UpCom,2.4,0.0,0.0,3.23,0.0,-0.0130312751642576,-199.519998405938,0
ATS,HNX,0,-100.0,0.0,-4.55,0.0,0.233233355142857,55.3094131501845,0
AVC,UpCom,51,-14.92,-3.7,-8.11,-13.95,6.94677137605306,7.99036389476913,0
AVF,UpCom,0.5,0.0,0.0,16.67,0.0,-2.10181490147011,-0.285467573562416,1.2226471411249
B82,UpCom,0.5,20.0,0.0,16.67,0.0,0.09289259314488,6.45907256635854,0.309876435018841
BAB,HNX,0,-0.85,0.0,-0.69,-0.71,0.97594564803435,12.9105550348809,0
BAF,HSX,23.55,1.76,1.72,0.87,-6.96,0.675623564019621,31.0823972376874,0
BAL,UpCom,8.5,0.0,0.0,-2.74,-15.35,1.6046350172643,4.61164060386521,0
BAX,HNX,0,3.79,0.0,2.71,-6.72,2.80980843760449,19.2183920004304,0
BBC,HSX,51.9,0.19,2.55,0.68,1.7,3.23342996077348,17.7520468036577,-0.154929577464789
BBH,UpCom,9.3,0.0,0.0,0.0,0.0,0,0,0
BBM,UpCom,9.1,0.0,14.12,0.0,-4.44,1.3692643928905,7.66835101717254,0
BBS,HNX,0,-100.0,0.0,-10.08,-10.08,0.4704478243136,24.8699205210922,-0.14328279730085
BBT,UpCom,9.1,0.0,0.0,-4.17,0.0,-1.37757727132653,-6.31543520721882,0
BCA,UpCom,5.2,0.0,0.0,0.0,-1.75,0.0921352475789474,48.8412428277692,0
BCB,UpCom,0.5,0.0,0.0,0.0,0.0,0.0034099327262,146.630458764855,0
BCC,HNX,0,-2.16,0.91,-2.65,-2.76,-0.877000867034978,-14.1390966258936,1.40539829988607
BCE,HSX,5.88,5.69,0.17,0.71,-0.16,-1.01215854840805,-6.2934804137345,0.742374778472157
BCF,HNX,0,-100.0,0.0,-5.04,-17.72,3.11519489556339,9.95122329076416,0
BCG,HSX,7.96,0.53,0.0,3.08,-0.74,-0.0832911924853899,-139.870731254611,0
BCM,HSX,58.8,-1.01,0.73,-0.26,-1.86,0.734650532804746,92.5610163792979,0
BCP,UpCom,9.2,0.0,-14.85,0.0,-1.09,-0.671581109084457,-12.8056014138398,0
BCV,UpCom,21.5,0.0,0.0,0.0,0.0,0,0,0
BDB,HNX,0,-100.0,0.0,0.0,-7.41,0.932528053400078,13.7261286170749,0.35825081062133
BDG,UpCom,27,1.5,0.0,-9.61,-9.61,6.77056216274737,4.04693130959772,0
BDT,UpCom,14.5,4.08,-0.6,-1.04,-14.62,1.50772587353998,11.6732095063654,0
BDW,UpCom,20.5,0.0,0.0,10.25,-4.13,Infinity,0,0
BED,HNX,0,-100.0,0.0,0.0,-3.26,1.97238817866533,17.6942857280842,0.215756725966173
BEL,UpCom,11,0.0,0.0,0.0,-8.46,0,0,0
BFC,HSX,19.65,-0.5,4.3,2.08,2.41,0.873676978044827,23.1206733239153,0
BGW,UpCom,17,0.0,0.0,0.0,-3.33,0.645426180342166,26.3391856695178,0
BHA,UpCom,14,-7.1,-2.3,-2.3,-2.3,1.45551725508215,10.7955789674999,0
BHC,UpCom,2,0.0,0.0,8.7,0.0,-0.456856546956333,-4.37774179515296,1.11764705882353
BHG,UpCom,13.5,0.0,0.0,0.0,0.0,0,0,0
BHK,UpCom,11,0.0,0.0,0.0,-6.56,0,0,0
BHN,HSX,39.2,1.8,-1.56,0.11,-1.01,1.86156757122351,23.2868259364382,0
BHP,UpCom,8.5,2.74,0.0,-3.0,-4.21,-1.05672660957438E-07,-72866528.8659794,-0.0434514756560075
BIC,HSX,24.8,-0.21,1.2,0.0,0.0,1.07090535246435,23.1579755791962,0.869508441376737
BID,HSX,41.65,3.58,2.29,-0.31,-2.08,2.54737999458299,16.3501323275557,1.35938811678015
